Family,Common Name,Scientific name,Notes
Waterfowl,Emperor Goose,Anser canagicus,"Rare. Winter visitor, mostly in coastal areas. Breeds in Alaska."
Waterfowl,Snow Goose,Anser caerulescens,"Large flock winters in coastal marshes and fields in Skagit/Snohomish counties, increasingly common and widespread elsewhere. Breeds in Arctic (our birds mostly from Siberia)."
Waterfowl,Greater White-fronted Goose,Anser albifrons,"Common. Migrant (spring & fall) on outer coast, unCommon. elsewhere; unCommon. Winter visitor west of Cascades. Breeds in Arctic."
Waterfowl,Brant,Branta bernicla,"Locally Abundant. Winter visitor and widely Common. spring Migrant (spring & fall) on salt water, rare Migrant (spring & fall) east. Breeds in Arctic."
Waterfowl,Cackling Goose,Branta hutchinsii,"Common. Winter visitor west, Common. Migrant (spring & fall) along coast, uncommon Migrant (spring & fall) east. Increasing dramatically. Breeds in Arctic and Subarctic."
Waterfowl,Canada Goose,Branta canadensis,Common. Permanent resident (populations west of Cascades introduced); Abundant. Migrant (spring & fall) and locally com Winter visitor on coast and east of Cascades (from Arctic-breeding populations).
Waterfowl,Trumpeter Swan,Cygnus buccinator,"Locally Common. Winter visitor on freshwater lakes and agriculture lands west of Cascades, rare east; continuing to increase. Breeds in Alaska/BC boreal forest."
Waterfowl,Tundra Swan,Cygnus columbianus,Locally Common. Winter visitor on salt and fresh water and fields near coast; locally Common. Migrant (spring & fall) east of Cascades. Breeds in Arctic.
Waterfowl,Wood Duck,Aix sponsa,UnCommon. Summer resident on wooded lakes; winters locally in increasing numbers where provisioned by humans.
Waterfowl,Blue-winged Teal,Spatula discors,UnCommon. Summer resident in marshes.
Waterfowl,Cinnamon Teal,Spatula cyanoptera,"Summer resident in marshes, Common. east, locally Common. west."
Waterfowl,Northern Shoveler,Spatula clypeata,"Common. Winter visitor, more on fresh than salt water; Summer resident in marshes, Common. east, very local west."
Waterfowl,Gadwall,Mareca strepera,"Common. Permanent resident in marshes, lakes and bays."
Waterfowl,Eurasian Wigeon,Mareca penelope,"UnCommon. Winter visitor on fresh and salt water, mostly west. Breeds in Siberian boreal forest."
Waterfowl,American Wigeon,Mareca americana,"Abundant. Winter visitor on fresh and salt water; unCommon. Summer resident in marshes east of Cascades, very local west."
Waterfowl,Mallard,Anas platyrhynchos,"Abundant. Permanent resident, more common on fresh than salt water."
Waterfowl,Northern Pintail,Anas acuta,"Common. Winter visitor on coast, less common on fresh water; unCommon. Summer resident in marshes east of Cascades."
Waterfowl,Green-winged Teal,Anas crecca,"Abundant. Winter visitor on coast, less common on fresh water; unCommon. Summer resident in marshes east of Cascades, few breed west."
Waterfowl,Canvasback,Aythya valisineria,Locally Common. Winter visitor on lakes and bays; unCommon. Summer resident on lakes east of Cascades.
Waterfowl,Redhead,Aythya americana,"Common. Permanent resident on lakes east of Cascades, unCommon. Migrant (spring & fall) and rare Winter visitor on fresh water west."
Waterfowl,Ring-necked Duck,Aythya collaris,"Common. Winter visitor on fresh water, unCommon. Summer resident on wooded lakes in Cascades and east."
Waterfowl,Tufted Duck,Aythya fuligula,"Rare. Winter visitor, mostly west."
Waterfowl,Greater Scaup,Aythya marila,"Abundant. Winter visitor on salt water, locally Common. on fresh water. Breeds in boreal forest."
Waterfowl,Lesser Scaup,Aythya affinis,"Common. Winter visitor on fresh water, less so on salt water; unCommon. Summer resident on lakes east of Cascades, few west."
Waterfowl,Harlequin Duck,Histrionicus histrionicus,Common. Winter visitor (some in summer) on rocky coast; unCommon. Summer resident on mountain streams and rivers.
Waterfowl,Surf Scoter,Melanitta perspicillata,Abundant. Winter visitor (some in summer) on salt water. Breeds in boreal forest.
Waterfowl,White-winged Scoter,Melanitta deglandi,Abundant. Winter visitor (some in summer) on salt water. Breeds in boreal forest.
Waterfowl,Black Scoter,Melanitta americana,Locally Common. Winter visitor on salt water. Breeds in Arctic and Subarctic.
Waterfowl,Long-tailed Duck,Clangula hyemalis,UnCommon. Winter visitor on salt water. Breeds in Arctic.
Waterfowl,Bufflehead,Bucephala albeola,"Abundant. Winter visitor on salt and fresh water; few breed on lakes, mostly northeast."
Waterfowl,Common Goldeneye,Bucephala clangula,Common. Winter visitor on salt and fresh water; few breeding records on interior lakes.
Waterfowl,Barrow's Goldeneye,Bucephala islandica,"Locally Common. Winter visitor on salt water, unCommon. Migrant (spring & fall) on fresh water; unCommon. Summer resident on mountain lakes."
Waterfowl,Hooded Merganser,Lophodytes cucullatus,"UnCommon. Permanent resident on fresh water, breeding on wooded lakes; some move to salt water in winter."
Waterfowl,Common Merganser,Mergus merganser,"Common. Winter visitor on lakes, locally on salt water; unCommon. Summer resident on rivers."
Waterfowl,Red-breasted Merganser,Mergus serrator,Common. Winter visitor on salt water. Breeds in boreal forest and Arctic.
Waterfowl,Ruddy Duck,Oxyura jamaicensis,"Common. Winter visitor on large lakes and bays; Common. Summer resident on lakes east of Cascades, few west."
New World Quails,Mountain Quail,Oreortyx pictus,"UnCommon. and local Permanent resident in wooded country around southern Puget Sound, lower Columbia River, and Blue Mountains."
New World Quails,Northern Bobwhite,Colinus virginianus,"UnCommon. and local Permanent resident, mostly Pierce and Thurston counties (introduced)."
New World Quails,California Quail,Callipepla californica,Common. Permanent resident in lightly wooded and open country (introduced).
"Partridges, Grouses, Turkeys",Chukar,Alectoris chukar,UnCommon. Permanent resident in rocky open country east of Cascades (introduced).
"Partridges, Grouses, Turkeys",Gray Partridge,Perdix perdix,UnCommon. Permanent resident in open country east of Cascades (introduced).
"Partridges, Grouses, Turkeys",Ring-necked Pheasant,Phasianus colchicus,Common. Permanent resident in open country (introduced).
"Partridges, Grouses, Turkeys",Ruffed Grouse,Bonasa umbellus,UnCommon. Permanent resident in broadleaf forest.
"Partridges, Grouses, Turkeys",Greater Sage-Grouse,Centrocercus urophasianus,"UnCommon., local and decreasing Permanent resident in sagebrush east of Cascades."
"Partridges, Grouses, Turkeys",Spruce Grouse,Falcipennis canadensis,UnCommon. Permanent resident in conifer forest from Cascades east across northern part of state.
"Partridges, Grouses, Turkeys",White-tailed Ptarmigan,Lagopus leucura,UnCommon. Permanent resident in alpine zone of Cascades. Moves below tree line in winter.
"Partridges, Grouses, Turkeys",Dusky Grouse,Dendragapus obscurus,UnCommon. Permanent resident in conifer forest east of Cascades.
"Partridges, Grouses, Turkeys",Sooty Grouse,Dendragapus fuliginosus,UnCommon. Permanent resident in conifer forest from Cascades west.
"Partridges, Grouses, Turkeys",Sharp-tailed Grouse,Tympanuchus phasianellus,"UnCommon., local and decreasing Permanent resident in grassland east of Cascades, mostly northern part."
"Partridges, Grouses, Turkeys",Wild Turkey,Meleagris gallopavo,"Locally Common. Permanent resident in wooded areas, increasing over much of east (introduced)."
Grebes,Pied-billed Grebe,Podilymbus podiceps,Common. Permanent resident on lakes and ponds; unCommon. Winter visitor on salt water.
Grebes,Horned Grebe,Podiceps auritus,Common. Winter visitor on salt water and lakes; unCommon. Summer resident on lakes in northeast part.
Grebes,Red-necked Grebe,Podiceps grisegena,Common. Winter visitor on salt water; locally Common. Summer resident on lakes in northeast part.
Grebes,Eared Grebe,Podiceps nigricollis,UnCommon. and local Winter visitor on salt water and lakes; locally Common. Summer resident in loose colonies on lakes east of Cascades.
Grebes,Western Grebe,Aechmophorus occidentalis,Common. Winter visitor on large lakes and salt water; Common. Summer resident in loose colonies on few large lakes east of Cascades.
Grebes,Clark's Grebe,Aechmophorus clarkii,Common. Summer resident in loose colonies on few Columbia Basin lakes; rare Winter visitor on salt water.
